Date,Low,Open,Volume,High,Close,Adjusted Close
06-03-2002,0.4094640017,0.4192860126,226206400,0.4346430004,0.4298210144,0.3663871586
07-03-2002,0.4216069877,0.4296430051,258249600,0.4380359948,0.4353570044,0.371106118
08-03-2002,0.4339289963,0.4417859912,269774400,0.4480359852,0.4403569996,0.3753682375
11-03-2002,0.4303570092,0.4392859936,262785600,0.4489290118,0.4474999905,0.3814570606
12-03-2002,0.4303570092,0.4376789927,254055200,0.4417859912,0.4414289892,0.3762818575
13-03-2002,0.431250006,0.4351789951,200765600,0.443749994,0.4373210073,0.3727802634
14-03-2002,0.4262500107,0.4339289963,217296800,0.4392859936,0.4362500012,0.3718672693
15-03-2002,0.4330359995,0.436785996,240900800,0.4457139969,0.4455359876,0.3797828257
18-03-2002,0.4342859983,0.4455359876,304556000,0.4473209977,0.4417859912,0.3765862584
19-03-2002,0.4339289963,0.4408929944,242345600,0.4517860115,0.443749994,0.3782604337
20-03-2002,0.4375,0.4403569996,294319200,0.4489290118,0.4449999928,0.3793259263
21-03-2002,0.4153569937,0.4260709882,616352800,0.4339289963,0.4333930016,0.3694318831
22-03-2002,0.4262500107,0.4325000048,202193600,0.4385710061,0.4301789999,0.366692245
25-03-2002,0.4149999917,0.4298210144,262830400,0.4301789999,0.4169639945,0.355427593
26-03-2002,0.4107140005,0.4142859876,257840800,0.4221430123,0.4189290106,0.3571025431
27-03-2002,0.4153569937,0.4169639945,127702400,0.4235709906,0.4191069901,0.3572542667
28-03-2002,0.4189290106,0.4232139885,108455200,0.4264290035,0.4226790071,0.3602991998
01-04-2002,0.4157139957,0.4174999893,199046400,0.4410710037,0.436785996,0.3723241985
02-04-2002,0.4262500107,0.4285709858,203795200,0.4339289963,0.4298210144,0.3663871586
03-04-2002,0.4214290082,0.4294640124,214530400,0.4373210073,0.4241069853,0.3615163267
04-04-2002,0.4226790071,0.4226790071,338497600,0.4473209977,0.4446429908,0.3790216446
05-04-2002,0.4303570092,0.4455359876,278348000,0.4498209953,0.4417859912,0.3765862584
08-04-2002,0.4246430099,0.4314289987,261514400,0.4407140017,0.4385710061,0.3738457561
