Date,Low,Open,Volume,High,Close,Adjusted Close
02-01-1990,0.3125,0.3147319853,183198400,0.3348209858,0.3325890005,0.2648860514
03-01-1990,0.3348209858,0.3392859995,207995200,0.3392859995,0.3348209858,0.2666634619
04-01-1990,0.3325890005,0.3415180147,221513600,0.3459819853,0.3359380066,0.2675531805
05-01-1990,0.3303569853,0.3370540142,123312000,0.3415180147,0.3370540142,0.2684420049
08-01-1990,0.3303569853,0.3348209858,101572800,0.3392859995,0.3392859995,0.2702196836
09-01-1990,0.3303569853,0.3392859995,86139200,0.3392859995,0.3359380066,0.2675531805
10-01-1990,0.3191959858,0.3359380066,199718400,0.3359380066,0.3214290142,0.2559977174
11-01-1990,0.3080359995,0.3236609995,211052800,0.3236609995,0.3080359995,0.245331049
12-01-1990,0.3013390005,0.3058040142,171897600,0.3102680147,0.3080359995,0.245331049
15-01-1990,0.3058040142,0.3080359995,161739200,0.3191959858,0.3058040142,0.2435534
16-01-1990,0.2924109995,0.2991069853,214244800,0.3125,0.3113839924,0.2479975671
17-01-1990,0.2946430147,0.3102680147,197299200,0.3102680147,0.296875,0.2364419699
18-01-1990,0.2879459858,0.2946430147,273291200,0.2991069853,0.2890630066,0.2302202135
19-01-1990,0.2991069853,0.3013390005,265137600,0.3080359995,0.3058040142,0.2435534
22-01-1990,0.296875,0.3035709858,145611200,0.3080359995,0.296875,0.2364419699
23-01-1990,0.2946430147,0.3013390005,140873600,0.3058040142,0.3013390005,0.2399972528
24-01-1990,0.2879459858,0.2901790142,169792000,0.3058040142,0.3035709858,0.2417749763
25-01-1990,0.3035709858,0.3058040142,111540800,0.3102680147,0.3046880066,0.2426645011
26-01-1990,0.2879459858,0.3035709858,181249600,0.3035709858,0.2924109995,0.2328866869
29-01-1990,0.286830008,0.2946430147,119929600,0.2991069853,0.296875,0.2364419699
30-01-1990,0.2946430147,0.296875,116446400,0.3080359995,0.3035709858,0.2417749763
31-01-1990,0.2946430147,0.3080359995,143942400,0.3102680147,0.3035709858,0.2417749763
01-02-1990,0.2991069853,0.3080359995,117073600,0.3091520071,0.3002229929,0.2391085327
02-02-1990,0.296875,0.296875,118473600,0.3102680147,0.3058040142,0.2435534
05-02-1990,0.3035709858,0.3058040142,101752000,0.3147319853,0.3125,0.2488864064
06-02-1990,0.3035709858,0.3102680147,73920000,0.3125,0.3102680147,0.2471087724
07-02-1990,0.2901790142,0.2946430147,312446400,0.3035709858,0.296875,0.2364419699
08-02-1990,0.2879459858,0.296875,186636800,0.2991069853,0.2946430147,0.2346643806
09-02-1990,0.296875,0.2991069853,168078400,0.3080359995,0.3058040142,0.2435534
12-02-1990,0.3013390005,0.3058040142,74916800,0.3080359995,0.3035709858,0.2417749763
13-02-1990,0.3013390005,0.3035709858,102166400,0.3125,0.3080359995,0.245331049
14-02-1990,0.3013390005,0.3080359995,96062400,0.3102680147,0.3058040142,0.2435534
15-02-1990,0.2991069853,0.3013390005,97966400,0.3058040142,0.3058040142,0.2435534
16-02-1990,0.3013390005,0.3058040142,127209600,0.3080359995,0.3013390005,0.2407704294
20-02-1990,0.2946430147,0.2991069853,123244800,0.3013390005,0.2991069853,0.2389870882
21-02-1990,0.2901790142,0.2924109995,175907200,0.3058040142,0.3035709858,0.2425538599
22-02-1990,0.2946430147,0.3035709858,195182400,0.3080359995,0.2946430147,0.2354203612
23-02-1990,0.2924109995,0.2924109995,149956800,0.2991069853,0.296875,0.2372037321
26-02-1990,0.2946430147,0.2946430147,79609600,0.3058040142,0.3035709858,0.2425538599
27-02-1990,0.2991069853,0.3035709858,73953600,0.3058040142,0.2991069853,0.2389870882
28-02-1990,0.296875,0.2991069853,109334400,0.3035709858,0.3035709858,0.2425538599
01-03-1990,0.296875,0.2991069853,203896000,0.3102680147,0.3058040142,0.244337976
02-03-1990,0.296875,0.2991069853,104899200,0.3102680147,0.3013390005,0.2407704294
05-03-1990,0.2991069853,0.2991069853,182470400,0.3102680147,0.3080359995,0.2461214364
06-03-1990,0.3080359995,0.3125,156016000,0.3147319853,0.3147319853,0.2514714301
07-03-1990,0.3125,0.3125,204220800,0.3214290142,0.3158479929,0.2523632348
08-03-1990,0.3125,0.3191959858,223843200,0.3303569853,0.328125,0.2621726096
09-03-1990,0.3236609995,0.328125,230473600,0.3348209858,0.3292410076,0.2630641162
12-03-1990,0.3236609995,0.3325890005,163956800,0.3348209858,0.3270089924,0.2612808049
13-03-1990,0.3236609995,0.3258930147,148579200,0.3325890005,0.3292410076,0.2630641162
14-03-1990,0.3258930147,0.328125,101785600,0.3325890005,0.3303569853,0.2639559805
15-03-1990,0.3258930147,0.3258930147,120232000,0.3392859995,0.328125,0.2621726096
16-03-1990,0.349330008,0.3571430147,644761600,0.3638390005,0.359375,0.2871412337
19-03-1990,0.3571430147,0.3616069853,431793600,0.3794640005,0.3783479929,0.3023007214
20-03-1990,0.3638390005,0.3772319853,391316800,0.3839290142,0.369419992,0.2951672971
21-03-1990,0.3683040142,0.3683040142,152734400,0.3772319853,0.3716520071,0.2969507277
22-03-1990,0.3638390005,0.3727680147,231660800,0.3772319853,0.3638390005,0.290708065
23-03-1990,0.3660709858,0.3683040142,227987200,0.3839290142,0.3772319853,0.3014090657
26-03-1990,0.375,0.3794640005,128060800,0.3872770071,0.3772319853,0.3014090657
27-03-1990,0.3683040142,0.375,84604800,0.3772319853,0.375,0.2996258736
28-03-1990,0.3660709858,0.375,102939200,0.3761160076,0.3683040142,0.2942754924
29-03-1990,0.3638390005,0.3660709858,96891200,0.3705359995,0.3671880066,0.2933838964
30-03-1990,0.3571430147,0.3571430147,223350400,0.3660709858,0.359375,0.2871412337
02-04-1990,0.3526790142,0.3571430147,148769600,0.3627229929,0.359375,0.2871412337
03-04-1990,0.3616069853,0.3616069853,139708800,0.3727680147,0.3727680147,0.2978425324
04-04-1990,0.3638390005,0.3705359995,149732800,0.375,0.3683040142,0.2942754924
05-04-1990,0.3571430147,0.3660709858,108192000,0.3683040142,0.359375,0.2871412337
06-04-1990,0.3549109995,0.359375,118238400,0.3683040142,0.3560270071,0.2844661176
09-04-1990,0.3526790142,0.3549109995,105481600,0.3705359995,0.3671880066,0.2933838964
10-04-1990,0.3660709858,0.3683040142,131320000,0.375,0.3683040142,0.2942754924
11-04-1990,0.3705359995,0.3705359995,213158400,0.3839290142,0.3794640005,0.3031923473
12-04-1990,0.3794640005,0.3839290142,211803200,0.3928569853,0.3861609995,0.3085433543
16-04-1990,0.3861609995,0.3883930147,226889600,0.3950890005,0.390625,0.3121100962
17-04-1990,0.3816959858,0.3861609995,131107200,0.3883930147,0.3861609995,0.3085433543
18-04-1990,0.3794640005,0.3861609995,193446400,0.390625,0.3861609995,0.3085433543
19-04-1990,0.3571430147,0.3727680147,481476800,0.385044992,0.359375,0.2871412337
20-04-1990,0.3549109995,0.364955008,323523200,0.3705359995,0.359375,0.2871412337
23-04-1990,0.3526790142,0.359375,128352000,0.3616069853,0.3549109995,0.2835746408
24-04-1990,0.34375,0.3571430147,303732800,0.3616069853,0.3459819853,0.2764402628
25-04-1990,0.3415180147,0.3459819853,132574400,0.3482140005,0.3459819853,0.2764402628
26-04-1990,0.3404020071,0.3482140005,142161600,0.3526790142,0.3470979929,0.2773319483
27-04-1990,0.3459819853,0.3482140005,116412800,0.3526790142,0.349330008,0.2791153789
30-04-1990,0.3482140005,0.3504459858,136393600,0.3549109995,0.3515630066,0.2808995545
01-05-1990,0.3515630066,0.3549109995,163609600,0.3571430147,0.353794992,0.2826829255
02-05-1990,0.3504459858,0.3549109995,135430400,0.3571430147,0.3549109995,0.2835746408
03-05-1990,0.3549109995,0.3549109995,166308800,0.359375,0.3571430147,0.2853580415
04-05-1990,0.3504459858,0.3571430147,169534400,0.3638390005,0.3571430147,0.2853580415
07-05-1990,0.3549109995,0.3549109995,135990400,0.3727680147,0.3705359995,0.2960590124
08-05-1990,0.3660709858,0.3660709858,112459200,0.375,0.3727680147,0.2978425324
09-05-1990,0.3683040142,0.3716520071,97238400,0.375,0.3738839924,0.2987340689
10-05-1990,0.3616069853,0.3727680147,179043200,0.3727680147,0.369419992,0.2951672971
11-05-1990,0.3638390005,0.369419992,215241600,0.3816959858,0.380580008,0.3040843308
14-05-1990,0.3683040142,0.3816959858,226385600,0.3816959858,0.3727680147,0.2978425324
15-05-1990,0.3660709858,0.369419992,149385600,0.375,0.3727680147,0.2978425324
16-05-1990,0.3660709858,0.3727680147,87304000,0.3727680147,0.3716520071,0.2969507277
17-05-1990,0.3660709858,0.3727680147,153585600,0.3772319853,0.3705359995,0.2960590124
18-05-1990,0.3526790142,0.3683040142,258462400,0.3705359995,0.3549109995,0.2835746408
21-05-1990,0.3459819853,0.3526790142,262483200,0.3571430147,0.3526790142,0.2825731337
22-05-1990,0.3571430147,0.3582589924,301089600,0.3705359995,0.369419992,0.2959862947
23-05-1990,0.3683040142,0.3683040142,207513600,0.3794640005,0.375,0.3004571199
24-05-1990,0.3705359995,0.3772319853,148131200,0.3772319853,0.375,0.3004571199
25-05-1990,0.3482140005,0.3526790142,323321600,0.3638390005,0.3571430147,0.2861496806
29-05-1990,0.3504459858,0.3571430147,243208000,0.3683040142,0.3660709858,0.293302983
30-05-1990,0.3683040142,0.3716520071,276819200,0.3727680147,0.369419992,0.2959862947
31-05-1990,0.3660709858,0.3705359995,103084800,0.3705359995,0.3683040142,0.2950921357
01-06-1990,0.3638390005,0.369419992,157236800,0.375,0.3638390005,0.2915145755
04-06-1990,0.3549109995,0.3638390005,179424000,0.3660709858,0.3638390005,0.2915145755
05-06-1990,0.3482140005,0.3660709858,299432000,0.3660709858,0.3526790142,0.2825731337
06-06-1990,0.3459819853,0.3482140005,211747200,0.3526790142,0.3526790142,0.2825731337
07-06-1990,0.34375,0.3526790142,186435200,0.3549109995,0.3482140005,0.2789955437
08-06-1990,0.3348209858,0.34375,333883200,0.34375,0.3415180147,0.2736307681
11-06-1990,0.3370540142,0.3370540142,157897600,0.3482140005,0.3482140005,0.2789955437
12-06-1990,0.3459819853,0.349330008,165032000,0.3616069853,0.3616069853,0.2897263467
13-06-1990,0.3549109995,0.3604910076,138947200,0.3638390005,0.3549109995,0.2843613923
14-06-1990,0.3504459858,0.3571430147,140324800,0.359375,0.3549109995,0.2843613923
15-06-1990,0.349330008,0.3549109995,144144000,0.3571430147,0.3526790142,0.2825731337
18-06-1990,0.3482140005,0.3504459858,111395200,0.3526790142,0.3504459858,0.2807839215
19-06-1990,0.3426339924,0.3482140005,157225600,0.3549109995,0.353794992,0.2834672034
20-06-1990,0.3549109995,0.3560270071,154739200,0.359375,0.3571430147,0.2861496806
21-06-1990,0.3571430147,0.3571430147,208600000,0.375,0.3738839924,0.2995629013
22-06-1990,0.3683040142,0.375,283976000,0.380580008,0.3705359995,0.2968803644
25-06-1990,0.359375,0.3705359995,122001600,0.3727680147,0.3683040142,0.2950921357
26-06-1990,0.3604910076,0.3727680147,127254400,0.375,0.3627229929,0.2906206548
27-06-1990,0.359375,0.3638390005,97227200,0.375,0.3705359995,0.2968803644
28-06-1990,0.3727680147,0.3816959858,249939200,0.3861609995,0.3839290142,0.3076111376
29-06-1990,0.3816959858,0.3839290142,325192000,0.400669992,0.3995540142,0.320130229
02-07-1990,0.390625,0.3973209858,135408000,0.3973209858,0.3928569853,0.3147643805
03-07-1990,0.390625,0.3917410076,99500800,0.3973209858,0.3928569853,0.3147643805
05-07-1990,0.3861609995,0.390625,107464000,0.3950890005,0.3883930147,0.3111878633
06-07-1990,0.3861609995,0.3883930147,209059200,0.4017859995,0.3995540142,0.320130229
09-07-1990,0.3995540142,0.4017859995,315459200,0.4196430147,0.416294992,0.3335433006
10-07-1990,0.4174109995,0.4196430147,361424000,0.4241069853,0.4196430147,0.3362258673
11-07-1990,0.4084819853,0.4174109995,246153600,0.4196430147,0.4196430147,0.3362258673
12-07-1990,0.4151790142,0.4174109995,182470400,0.4241069853,0.4229910076,0.3389084041
13-07-1990,0.4174109995,0.4241069853,230977600,0.4263390005,0.4174109995,0.3344374895
16-07-1990,0.4040180147,0.4174109995,179704000,0.4207589924,0.4073660076,0.3263893723
17-07-1990,0.3928569853,0.4084819853,136852800,0.4107140005,0.3950890005,0.3165525794
18-07-1990,0.3839290142,0.3973209858,288366400,0.4017859995,0.3984380066,0.3192360401
19-07-1990,0.3571430147,0.3638390005,585984000,0.3794640005,0.3727680147,0.2986688316
20-07-1990,0.3638390005,0.375,191844800,0.3794640005,0.3660709858,0.293302983
23-07-1990,0.3571430147,0.3660709858,270188800,0.3727680147,0.3705359995,0.2968803644
24-07-1990,0.3660709858,0.375,193916800,0.3772319853,0.3761160076,0.301351279
25-07-1990,0.3727680147,0.375,104921600,0.3861609995,0.3772319853,0.3022454083
26-07-1990,0.3660709858,0.3772319853,80337600,0.3794640005,0.369419992,0.2959862947
27-07-1990,0.3616069853,0.3683040142,62316800,0.3727680147,0.369419992,0.2959862947
30-07-1990,0.3638390005,0.3638390005,85456000,0.3794640005,0.3783479929,0.3031395078
31-07-1990,0.3705359995,0.3794640005,96006400,0.3816959858,0.375,0.3004571199
01-08-1990,0.3705359995,0.375,93508800,0.3816959858,0.3783479929,0.3031395078
02-08-1990,0.3683040142,0.3683040142,223126400,0.390625,0.3883930147,0.3111878633
03-08-1990,0.3549109995,0.3883930147,268968000,0.390625,0.3683040142,0.2950921357
06-08-1990,0.34375,0.3482140005,179659200,0.3616069853,0.3526790142,0.2825731337
07-08-1990,0.3459819853,0.359375,198531200,0.3627229929,0.3526790142,0.2825731337
08-08-1990,0.3526790142,0.3526790142,102536000,0.3638390005,0.3582589924,0.2870438695
09-08-1990,0.3504459858,0.359375,96387200,0.3616069853,0.3526790142,0.2825731337
10-08-1990,0.3415180147,0.3459819853,102704000,0.3504459858,0.3459819853,0.2772073448
13-08-1990,0.338169992,0.3392859995,156116800,0.3571430147,0.3560270071,0.2852555215
14-08-1990,0.3504459858,0.3571430147,98168000,0.3571430147,0.3549109995,0.2843613923
15-08-1990,0.3504459858,0.3571430147,92052800,0.359375,0.3504459858,0.2807839215
16-08-1990,0.34375,0.3482140005,123894400,0.353794992,0.34375,0.2754189968
17-08-1990,0.3191959858,0.34375,246108800,0.34375,0.3258930147,0.2611115575
20-08-1990,0.3236609995,0.3258930147,75062400,0.3348209858,0.328125,0.2636946142
21-08-1990,0.3147319853,0.3191959858,161044800,0.328125,0.3236609995,0.2601071
22-08-1990,0.3113839924,0.3303569853,122718400,0.3303569853,0.3136160076,0.2520345747
23-08-1990,0.2991069853,0.3058040142,143696000,0.3125,0.3080359995,0.2475501448
24-08-1990,0.3102680147,0.3147319853,73416000,0.3214290142,0.3169640005,0.2547250092
27-08-1990,0.3236609995,0.328125,117465600,0.3392859995,0.3370540142,0.2708702981
28-08-1990,0.3325890005,0.3348209858,80192000,0.3426339924,0.3404020071,0.273560822
29-08-1990,0.328125,0.3392859995,150931200,0.3404020071,0.3325890005,0.2672819495
30-08-1990,0.3214290142,0.3325890005,122595200,0.3348209858,0.3236609995,0.2601071
31-08-1990,0.3214290142,0.3214290142,99456000,0.3325890005,0.3303569853,0.2654882669
04-09-1990,0.3258930147,0.3258930147,82745600,0.3348209858,0.3303569853,0.2654882669
05-09-1990,0.3191959858,0.3325890005,64052800,0.3325890005,0.3214290142,0.2583133876
06-09-1990,0.3147319853,0.3169640005,87628800,0.3214290142,0.3191959858,0.256518811
07-09-1990,0.3136160076,0.3169640005,58172800,0.328125,0.3247770071,0.2610039413
10-09-1990,0.3191959858,0.3303569853,75980800,0.3303569853,0.3191959858,0.256518811
11-09-1990,0.3013390005,0.3214290142,178270400,0.322544992,0.3035709858,0.2439619303
12-09-1990,0.2991069853,0.3080359995,100408000,0.3080359995,0.3035709858,0.2439619303
13-09-1990,0.2946430147,0.3080359995,97260800,0.3102680147,0.3013390005,0.2421681583
14-09-1990,0.296875,0.2991069853,113915200,0.3058040142,0.3035709858,0.2439619303
17-09-1990,0.2991069853,0.3035709858,77672000,0.3147319853,0.3013390005,0.2421681583
18-09-1990,0.2946430147,0.3013390005,124611200,0.3013390005,0.2979910076,0.2394775897
19-09-1990,0.2857140005,0.296875,182459200,0.3013390005,0.2901790142,0.2331995964
20-09-1990,0.2790180147,0.2879459858,100934400,0.2879459858,0.2823660076,0.2269207835
21-09-1990,0.2767859995,0.2857140005,153865600,0.2901790142,0.28125,0.226023823
24-09-1990,0.265625,0.28125,138499200,0.28125,0.2700890005,0.2170544714
25-09-1990,0.2611609995,0.2723209858,157953600,0.2745540142,0.2678569853,0.2152607143
26-09-1990,0.265625,0.2678569853,94136000,0.2723209858,0.265625,0.2134670764
